symbol,name,market,industry,yahoo_symbol
4126,太醫,TPEx,22,4126.TWO
4127,天良,TPEx,22,4127.TWO
4128,中天,TPEx,22,4128.TWO
4129,聯合,TPEx,22,4129.TWO
4130,健亞,TPEx,22,4130.TWO
4131,浩泰,TPEx,22,4131.TWO
4133,亞諾法,TWSE,22,4133.TW
4137,麗豐-KY,TWSE,22,4137.TW
4138,曜亞,TPEx,22,4138.TWO
4139,馬光-KY,TPEx,22,4139.TWO
4142,國光生,TWSE,22,4142.TW
4147,中裕,TPEx,22,4147.TWO
4148,全宇生技-KY,TWSE,22,4148.TW
4153,鈺緯,TPEx,22,4153.TWO
4154,樂威科-KY,TPEx,20,4154.TWO
4155,訊映,TWSE,22,4155.TW
4157,太景*-KY,TPEx,22,4157.TWO
4160,訊聯基因,TPEx,22,4160.TWO
4161,聿新科,TPEx,22,4161.TWO
4162,智擎,TPEx,22,4162.TWO
4163,鐿鈦,TPEx,22,4163.TWO
4164,承業醫,TWSE,22,4164.TW
4166,友霖,TPEx,22,4166.TWO
4167,松瑞藥,TPEx,22,4167.TWO
4168,醣聯,TPEx,22,4168.TWO
4169,泰宗,TWSE,22,4169.TW
4171,瑞基,TPEx,33,4171.TWO
4173,久裕,TPEx,22,4173.TWO
4174,浩鼎,TPEx,22,4174.TWO
4175,杏一,TPEx,22,4175.TWO
4178,永笙-KY,TWSE,22,4178.TW
4183,福永生技,TPEx,22,4183.TWO
4188,安克,TPEx,22,4188.TWO
4190,佐登-KY,TWSE,22,4190.TW
4192,杏國,TPEx,22,4192.TWO
4195,基米-創,TWSE,22,4195.TW
4198,欣大健康,TPEx,22,4198.TWO
4205,中華食,TPEx,02,4205.TWO
4207,環泰,TPEx,02,4207.TWO
4303,信立,TPEx,03,4303.TWO
4304,勝昱,TPEx,03,4304.TWO
4305,世坤,TPEx,03,4305.TWO
4306,炎洲,TWSE,03,4306.TW
4401,東隆興,TPEx,04,4401.TWO
4402,郡都開發,TPEx,04,4402.TWO
4406,新昕纖,TPEx,04,4406.TWO
4413,飛寶企業,TPEx,04,4413.TWO
4414,如興,TWSE,04,4414.TW
4416,三圓,TPEx,14,4416.TWO
4417,金洲,TPEx,04,4417.TWO
4419,皇家美食,TPEx,16,4419.TWO
4420,光明,TPEx,04,4420.TWO
4426,利勤,TWSE,04,4426.TW
4430,耀億,TPEx,20,4430.TWO
4432,銘旺實,TPEx,04,4432.TWO
4433,興采,TPEx,04,4433.TWO
4438,廣越,TWSE,04,4438.TW
4439,冠星-KY,TWSE,04,4439.TW
4440,宜新實業,TWSE,04,4440.TW
4441,振大環球,TWSE,04,4441.TW
4442,竣邦-KY,TPEx,04,4442.TWO
4502,健信,TPEx,05,4502.TWO
4503,金雨,TPEx,05,4503.TWO
4506,崇友,TPEx,05,4506.TWO
4510,高鋒,TPEx,05,4510.TWO
4513,福裕,TPEx,05,4513.TWO
4523,永彰,TPEx,05,4523.TWO
4526,東台,TWSE,05,4526.TW
4527,方方土霖,TPEx,05,4527.TWO
4528,江興鍛,TPEx,05,4528.TWO
4529,淳紳,TPEx,20,4529.TWO
4530,宏易,TPEx,16,4530.TWO
4532,瑞智,TWSE,05,4532.TW
4533,協易機,TPEx,05,4533.TWO
4534,慶騰,TPEx,05,4534.TWO
4535,至興,TPEx,05,4535.TWO
4536,拓凱,TWSE,37,4536.TW
4538,大詠城,TPEx,05,4538.TWO
4540,全球傳動,TWSE,05,4540.TW
4541,晟田,TPEx,20,4541.TWO
4542,科嶠,TPEx,28,4542.TWO
4543,萬在,TPEx,05,4543.TWO
4545,銘鈺,TWSE,28,4545.TW
4549,桓達,TPEx,05,4549.TWO
4550,長佳,TPEx,05,4550.TWO
4551,智伸科,TWSE,12,4551.TW
4552,力達-KY,TWSE,05,4552.TW
4554,橙的,TPEx,31,4554.TWO
4555,氣立,TWSE,05,4555.TW
4556,旭然,TPEx,20,4556.TWO
4557,永新-KY,TWSE,12,4557.TW
4558,寶緯,TPEx,05,4558.TWO
4560,強信-KY,TWSE,05,4560.TW
